ZIP CODE,HUD Area Code,HUD Metro Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
"64873","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"65723","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"65734","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"96708","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96713","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96729","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96732","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96733","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96748","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96753","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96757","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96761","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96763","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96767","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96768","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96770","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96779","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96784","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96788","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96790","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"96793","METRO27980M27980","Kahului-Wailuku-Lahaina, HI MSA","","","","","","","","","","","","","","",""
"49001","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49002","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49003","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49004","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49005","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49006","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49007","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49008","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49009","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49011","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49012","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49015","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49019","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49024","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49034","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49041","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
